Name,Location,Open Year-Round,Handicap Accessible,Borough
Bridge Park 2,Bridge & Prospect streets,Yes,No,Brooklyn
Broadway Malls,"Broadway, Columbus Circle to West 110 Street",Yes,No,Manhattan
Bronx Park (Ben Abrams Playground),Lydig Avenue & Bronx Park East,Yes,No,Bronx
Bronx Park (Brady Playground),Bronx Park East between Bronxdale Avenue and Unionport Road,Yes,No,Bronx
Bronx Park (French Charley's Playground),East 204 Street & W/S Bronx Park,Yes,No,Bronx
Bronx Park (Olinville Playground),East 219 Street & Bronx River Parkway,Yes,No,Bronx
Bronx Park (Ranaqua),"Southern Boulevard, Webster, Burke avenues, Bronx Park East, 180 Street",Yes,No,Bronx
Bronx Park (River Park Playground),"East 180th Street, Boston Road",Yes,Yes,Bronx
Bronx Park (Rosewood Playground),Bronx River Parkway & Rosewood Street,Yes,No,Bronx
Bronx Park (Waring Playground),Bronx Park East between Waring Avenure and Thwaites Place,Yes,No,Bronx
Bronx River Parkway (Parque de los Ninos),"Bronx River Parkway, Bronx Park, Westchester/NYC City Line.",Yes,Yes,Bronx
Brookville Park,"Conduit Avenue, Brookville Boulevard, 144th Avenue, 233rd Street",Yes,No,Queens
Brower Park,"Brooklyn, St. Mark's, Kingston avenues, Park Place",Yes,No,Brooklyn
Brower Park (Museum),"Brooklyn, St. Mark's, Kingston avenues, Park Place",Yes,No,Brooklyn
Brownsville Playground,Linden Boulevard & Hegeman Avenue,Yes,No,Brooklyn
Bufano Playground,"La Salle Avenue, Edison Avenue, Bradford Avenue, Waterbury Avenue",Yes,No,Bronx
Bushwick Playground & Pool,"Flushing Avenue, Bushwick Avenue & Humboldt Street",No,No,Brooklyn
Bushwick Playground & Pool,Flushing & Bushwick Avenue between Garden & Beaver,Yes,No,Brooklyn
Cabbell Park/Cambria Playground,121 Avenue & 220 Street,Yes,No,Queens
Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",Yes,No,Brooklyn
Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",Yes,No,Brooklyn
Campiz Playground,Hope Street & Metropolitan Avenue,Yes,No,Brooklyn
Canarsie Park,"Paerdegat Avenue, Seaview Avenue, East 93rd Street, Skidmore Avenue",Yes,No,Brooklyn
Capt. Rivera Playground,"East 156 Street, Forest Avenue",Yes,Yes,Bronx
Capt. Tilly Park,"Highland Avenue, Upland Parkway, Gothic Parkway, 85 Avenue",Yes,No,Queens
Captain Mario Fajardo Park,Kissena Boulevard & Booth Memorial Avenue,Yes,No,Queens
Carl Schurz Park,East 84 Street & East End Avenue,Yes,Yes,Manhattan
Carl Schurz Promenade,"Stone Wall to East River, East 84 to East 90 streets",Yes,No,Manhattan
Carmansville Playground,"Amsterdam Avenue, West 151 to West 152 streets",Yes,No,Manhattan
Carroll Park,Court & Smith Streets,Yes,Yes,Brooklyn
